,title,contract_type,description,salary_max,salary_min,location.display_name,salary_is_predicted,redirect_url,created
0,Projektmanager - Data Governance Prozesse (w/m/d),,"Zum nächstmöglichen Zeitpunkt suchen wir Dich als Projektmanager - Data Governance Prozesse für die Deutsche Bahn AG am Standort Berlin, Erfurt oder Frankfurt (Main). Deine Aufgaben: Die Data Governance zu stärken, die den freien Datenfluss konzernweit fördert ist das Ziel - dafür brichst Du organisatorische Barrieren zwischen Geschäftsfeldern auf, um das Potential von Daten im DB Konzern maximal auszuschöpfen Du entwickelst konzernweite Standards für den Umgang mit Daten in Form eines Data Gov…",,,"Gem. Glienicke/Nordbahn, Berlin",0,https://www.adzuna.de/details/3055357926?se=Nn2RubLT7BGX1SCNGu5MPQ&utm_medium=api&utm_source=e27c0930&v=B4959C79E66A5EA1893B59B00E13A574048A86D7,2022-06-19T11:37:24Z
1,Data Engineering Manager - Google Data Platform,,"At Zalando everything we do starts with our customers. Great customer data and services are vital to our experiences. Were looking for an Engineering Manager to lead and shape the team working on some of our most critical and valuable customer platform services, namely Zalando’s Data Platform, based on BigQuery on Google Cloud Platform (GCP). Youll learn how e-commerce works at scale, the core product and lifecycle models, working with and growing a strong team of engineers. This is a unique op…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3244087373?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=550CE27B487D0CB6F0E50A6BC5D799EA864B7D3B,2022-06-20T16:12:56Z
2,(Senior) Data Engineer / Data Warehouse Entwickler (m/w/d),,"Spannend, aufstrebend und verdammt schnell – wir sind flaschenpost Wir liefern innerhalb von 120 Minuten die Getränke und Lebensmittel zu unseren Kund:innen – und das bis an die Wohnungstür Gemeinsam mit rund 15.000 Kolleg:innen schaffen wir es, eine komplette Branche neu zu erfinden und liefern von mehr als 30 Standorten mittlerweile 7.000.000 Bestellungen pro Jahr in 190 Städten aus. Seit dem Jahr 2016 sind wir unaufhaltsam dabei, ganz Deutschland zu erschließen. (SENIOR) DATA ENGINEER / DATA…",,,"Wedding, Berlin",0,https://www.adzuna.de/land/ad/3242436407?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=934A80F35E481D4F5ED39D462A598CD32DC39C68,2022-06-19T20:45:13Z
3,Senior Data Engineer,,"Senior Data Engineer Are you an experienced Data Engineer ready to undertake a new position? GR4 Germany are looking for a Senior Data Engineer who is ready to help build infrastructure for our Berlin based clients new payment business. Founded in 2011, this international team is on the lookout for someone to help their mission of creating a leading solution landscape that leads small and medium-sized restaurateurs to success. The right candidate will be experienced in optimizing and maintainin…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3240841578?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=E7374DDFD1D9F38AA504F56298BF600734DFA565,2022-06-19T06:27:05Z
4,(Senior) Data Engineer (m/w/d) - Data Security,,Sie entwickel und konzipieren Data-Science Anwendungen Sie führen Konzeptstudien durch und integrieren Sicherheitstechnologien FirmenprofilUnser Kunde hat seit mehreren Jahren Erfahrung in der Datensicherheit und bietet sicher Lösung für sensible Daten und Identitäten. Nun suchen sie für ihren Standort in Berlin einen erfahrenen Data Visualisation Engineer (m/w/d).Aufgabengebiet Sie entwickel und konzipieren Data-Science Anwendungen Sie sind verantwortlich für die Visualisierungsstategie für al…,,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3243918993?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=E334B1CB7B70D4E0E96D880790511879EA7CC3A8,2022-06-20T13:33:31Z
5,"Data Analytics Sales Manager (German, English)",,"A person with disabilities will be given preferential consideration per local regulations. Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Munich, Germany; Berlin, Germany; Frankfurt, Germany; Hamburg, Germany .Minimum qualifications: Experience planning, pitching, and executing a territory business strategy/sales programs and developing mechanisms to scale business Experience managing a quota-carrying sales team Exper…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3242072538?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=35174C607406E35365026987EE253DDFF3536EE5,2022-06-19T17:41:38Z
6,Solution Architect für Big Data und KI gesucht (w/m/d),,"Solution Architect für Big Data und KI gesucht (w/m/d)Mit der Expertise für Big Data, Advanced Analytics & Künstliche Intelligenz bieten wir im Netzwerk innerhalb der DB Systel die Erfahrung eines etablierten Unternehmens mit dem Mindset eines Start-Ups. Bei uns gestaltest Du aktiv die Digitalisierung im DB-Konzern und formst entscheidend die digitale Zukunft der Bahn mit. Du arbeitest in agilen Teams, selbstorganisierten Netzwerkstrukturen und mit entsprechendem Gestaltungsspielraum. Wir setze…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3242056608?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=AEEBD8569B32FFA8A375E723B5FB075D9656E0AA,2022-06-19T17:39:55Z
7,Logistics Data Analyst (m/w/d),,"Spannend, aufstrebend und verdammt schnell – wir sind flaschenpost Wir liefern innerhalb von 120 Minuten die Getränke und Lebensmittel zu unseren Kund:innen – und das bis an die Wohnungstür Gemeinsam mit rund 15.000 Kolleg:innen schaffen wir es, eine komplette Branche neu zu erfinden und liefern von mehr als 30 Standorten mittlerweile 7.000.000 Bestellungen pro Jahr in 190 Städten aus. Seit dem Jahr 2016 sind wir unaufhaltsam dabei, ganz Deutschland zu erschließen. Logistics Data Analyst (m/w/d…",,,"Britz, Berlin",0,https://www.adzuna.de/land/ad/3242436399?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=7B7DDBB43D11B62FE788455DE0C2FA002A63727F,2022-06-19T20:45:13Z
8,Cloud Data Engineer (m/w/d),,"Spannend, aufstrebend und verdammt schnell – wir sind flaschenpost Wir liefern innerhalb von 120 Minuten die Getränke und Lebensmittel zu unseren Kund:innen – und das bis an die Wohnungstür Gemeinsam mit rund 15.000 Kolleg:innen schaffen wir es, eine komplette Branche neu zu erfinden und liefern von mehr als 30 Standorten mittlerweile 7.000.000 Bestellungen pro Jahr in 190 Städten aus. Seit dem Jahr 2016 sind wir unaufhaltsam dabei, ganz Deutschland zu erschließen. CLOUD DATA ENGINEER (M/W/D) U…",,,"Wedding, Berlin",0,https://www.adzuna.de/land/ad/3242436417?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=96185692BCC5B57CDEA9303628B0EFC9D56B40A4,2022-06-19T20:45:13Z
9,Logistics Data Analyst (m/w/d) in Berlin,,"Spannend, aufstrebend und verdammt schnell – wir sind flaschenpost Wir liefern innerhalb von 120 Minuten die Getränke und Lebensmittel zu unseren Kund:innen – und das bis an die Wohnungstür Gemeinsam mit rund 15.000 Kolleg:innen schaffen wir es, eine komplette Branche neu zu erfinden und liefern von mehr als 30 Standorten mittlerweile 7.000.000 Bestellungen pro Jahr in 190 Städten aus. Seit dem Jahr 2016 sind wir unaufhaltsam dabei, ganz Deutschland zu erschließen. LOGISTICS DATA ANALYST (M/W/D…",,,"Wedding, Berlin",0,https://www.adzuna.de/land/ad/3242436349?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=4A09B081160AE24811A421A5BF5A24CEBE85C26D,2022-06-19T20:45:12Z
10,Internship - Data Analytics / Consulting (m/f/d),,"About the company: OMMAX is a fast-growing digital strategy consultancy in Europe, specializing in digital M&A transactions, strategy consulting and sustainable digital value creation. Over the last 10 years, OMMAX realized 200 M&A deals, with >€15B deal value and 700 international value creation projects for leading private equity firms and ""Mittelstand"" companies in the areas of digital strategy, operational excellence, advanced data analytics, tech and automation. As a front-runner for holis…",,,"Frohnau, Berlin",0,https://www.adzuna.de/land/ad/3242066867?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=40BE6C11991CB6123FEA558F7E14C16BDC5CFFC0,2022-06-19T17:40:58Z
11,Data Analyst (m/w/d),,"Hersteller-unabhängiges Unternehmen Agiles und spannendes Arbeitsumfeld FirmenprofilMein Kunde ist ein florierendes Unternehmen, das eine digitalisierte sowie weitgehend automatisierte Liefer- und Dienstleistungskette im Industriesektor unterstützt. Ihr Ziel ist es, bis 2025 die führende digitale One-Stop-Shop-Plattform für Stahl, andere Materialien, Ausrüstung und Verarbeitungsdienstleistungen in Europa und Amerika zu werden. Im Auftrag meines Kunden suche ich einen Data Analysten (m/w/d) für …",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916676?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=B030EC22B74416E3E8925B4108BF7E9BF7DDB179,2022-06-20T13:33:18Z
12,Data Engineer (m/w/d),,"Healthcare digitalization Attractive salary and home office possibilities FirmenprofilMy client is a growing HealthTech company working on improving access to health data. For their Berlin location, my client is looking for a Backend Engineer (f/m/d) Infrastructure who has the motivation to grow with the company and manage data structures and the data warehouse.Aufgabengebiet Improvement of the data warehouse and data modelling Implement data pipelines as well as extraction of data Handling ad-…",,,"Berlin, Deutschland",0,https://www.adzuna.de/land/ad/3243916166?se=ntAXkanw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=B79917F044AE3B755F55AFAE06E38EB4B9168642,2022-06-20T13:33:12Z
